"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",";"KnobTicks";2;"";;;
2;",,,,";"9mm alpha jack hole";5;"9mm alpha jack hole";;;
3;",REF**,REF**,,,,,,";"Eurorack Rail Hole";9;"Eurorack Rail Hole";;;
4;",,,,,,,";"Eurorack jack hole";8;"Eurorack jack hole";;;
5;"";"Eurorack LED hole";1;"Eurorack LED hole";;;
6;"CV_in1,Reset_In1,Trigger/Clock_in1,DigiThruJack1,CycleOutJack1,DigiOutJack1";"PJ301M-12-MoreMetal";6;"PJ301M-12";;;
7;"Q3,Q1,Q2,Q4,Q5";"TO-92L_HandSolder";5;"2N3904";;;
8;"C4,C3";"C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal";2;"100nF";;;
9;"RV1,RV2,RV3";"Alpha9mmPot";3;"10k";;;
10;"R27";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"330";;;
11;"C1,C2";"CP_Radial_D5.0mm_P2.00mm";2;"10uF";;;
12;"D1,D2,D6,D7,D8,D9";"D_DO-41_SOD81_P10.16mm_Horizontal";6;"1N4001";;;
13;"D3,D4,D5,D10,D11,D12,D13,D14";"LED_D3.0mm";8;"LED";;;
14;"H1";"PinSocket_2x08_P2.54mm_Vertical";1;"EURO_PWR_2X8";;;
15;"J1";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Female";;;
16;"J2";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Male";;;
17;"J3";"PinHeader_1x15_P2.54mm_Vertical";1;"Conn_01x15_Male";;;
18;"J4";"PinHeader_1x15_P2.54mm_Vertical";1;"Conn_01x15_Female";;;
19;"J5";"PinHeader_1x09_P2.54mm_Vertical";1;"Conn_01x09_Female";;;
20;"J6";"PinHeader_1x09_P2.54mm_Vertical";1;"Conn_01x09_Male";;;
21;"R1,R2,R3,R15,R16,R17,R18,R23";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";8;"100k";;;
22;"R4,R5,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"47k";;;
23;"R7,R8,R9,R24,R25,R26,R28";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";7;"1k";;;
24;"R10,R11,R12,R22";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"10k";;;
25;"R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"11k";;;
26;"R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"91k";;;
27;"R19,R20";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"33k";;;
28;"R21";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"15k";;;
29;"SW1,SW4";"SPDT toggle on-off-on";2;"SW_SPDT_MSM";;;
30;"SW2";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles";1;"Rotary_Encoder_Switch";;;
31;"SW3";"SPST momentary push PBS105";1;"SW_SPST";;;
32;"U1";"DIP-14_W7.62mm_LongPads";1;"TL074";;;
33;"U2";"TeensyLC_fixed_pads";1;"Teensy-LC";;;
